Title,Review,Date,Rating,cleaned_text
"I was hesitant to start, but then couldn't stop","So I binged this in one day. I had no idea it was a manga until after I had watched it, but still enjoyed the concept. I can see how it would have been based off a manga now.

It was silly and fun, but with adult style violence. I would recommend this over and over.

The acting was brilliant, the costumes were brilliant and the concept is brilliant. It's so nice to have a lighthearted show on Netflix. I have been getting over the amount of drama/FBI type shows.

I don't think I have any faults when it comes to this show.

Get comfy and be prepared to want to watch the next episode every time.

Bring on season 2, 3, 4 and 5.",06-Sep-23,10.0,binged one day idea manga watched still enjoyed concept see would based manga silly fun adult style violence would recommend acting brilliant costumes brilliant concept brilliant nice lighthearted show netflix getting amount dramafbi type shows dont think faults comes show get comfy prepared want watch next episode every time bring season
The live action curse breaker,"Despite the negative reviews from some people who judged the series before watching it, I decided to give it a chance and watch the first episode. I was really surprised by how well they adapted the story from the manga, even though they made some changes to the plot. The changes did not affect the overall narrative and actually added some depth and complexity to the characters and the setting. The production value was impressive, with realistic costumes, props, special effects and PRACTICAL SETS. It felt like I was watching a movie rather than a TV show.

The first episode left me wanting more and curious about how the series will progress. I hope they will keep up the quality and the faithfulness to the source material.",31-Aug-23,9.0,despite negative reviews people judged series watching decided give chance watch first episode really surprised well adapted story manga even though made changes plot changes affect overall narrative actually added depth complexity characters setting production value impressive realistic costumes props special effects practical sets felt like watching movie rather tv show first episode left wanting curious series progress hope keep quality faithfulness source material
Already looking forward to next season,"One Piece has definitely lived up to all the hype surrounding it. One Piece is based off the anime show of the same name. It's about a guy named Monkey D. Luffy and his pirate crew. They explore the fantasy world of oceans and exotic islands in the search for the worlds ultimate treasure and the right to be called the Pirate King. Yes, it sounds like a kiddy version of Pirates of the Caribbean but it's not. As you can see it's gotten great ratings from fans and critics alike with a 8.5 score here and a 83% on Rotten Tomatoes. This is definitely going to be one of Netflix's next big shows. I just finished season one and already looking forward to next season.",16-Sep-23,8.0,one piece definitely lived hype surrounding one piece based anime show name guy named monkey luffy pirate crew explore fantasy world oceans exotic islands search worlds ultimate treasure right called pirate king yes sounds like kiddy version pirates caribbean see gotten great ratings fans critics alike score rotten tomatoes definitely going one netflixs next big shows finished season one already looking forward next season
"Campy, silly, and so much fun","I've never watched the anime or read the manga before, and honestly, wasn't fully sold by the trailer, but after I started watching it, I was hooked. I did not expect to enjoy this show as much as I did. The actors were well cast and the story was fun and compelling. You really get to like the characters, both heroes and villains, and want to see what happens to them. There's also a lot of heart to the story that goes beyond cliches. It was probably tricky to adapt an anime series into a live action format, and I feel it struck the right balance, and succeeded where other adaptations didn't.

Now I'm going to have to start watching the anime series, and it's a good thing Netflix has them.

Netflix had better renew this for more seasons or I'm canceling my subscription. After I watch the anime series, though.",02-Sep-23,9.0,ive never watched anime read manga honestly wasnt fully sold trailer started watching hooked expect enjoy show much actors well cast story fun compelling really get like characters heroes villains want see happens theres also lot heart story goes beyond cliches probably tricky adapt anime series live action format feel struck right balance succeeded adaptations didnt im going start watching anime series good thing netflix netflix better renew seasons im canceling subscription watch anime series though
Guys It's Really Gooood ⚡,"I am Biggest One Piece Anime Fan . Today I watch the Live Action Of One Piece And It's Really Good Comparing to Anime's Live Action Adaptations. I want the Netflix to continue the Series. Please Netflix Please Don't End it . We are Eagerly Waiting for the Next Season Of One Piece Live Action. Thank You so Much for this Great Anime Live Action Adaptation.

And Here we comes to the Casting .I really Liked the Casting .But one drawback is the Emotional connect to the series is very low because In the Anime We connect to the characters like Zoro sanji and luffy but here the emotional connect is not available but anyways I liked the Series and Waiting for the Next season 🖖",31-Aug-23,10.0,biggest one piece anime fan today watch live action one piece really good comparing animes live action adaptations want netflix continue series please netflix please dont end eagerly waiting next season one piece live action thank much great anime live action adaptation comes casting really liked casting one drawback emotional connect series low anime connect characters like zoro sanji luffy emotional connect available anyways liked series waiting next season
Are you kidding me?,"I've never seen the anime so I had zero context about it. I've been on the side where you've seen/read the original source material and hated the live-action adaptation. So I did start this show with a bit of a bias towards the expectation that it's not going to be great. It took a few minutes in the beginning to get used to it but man I don't remember the last show/movie that had my eyes glued to the screen like this.

I mean I can understand if the anime fans find some issues in it because I've kinda been there (everyone loved TLOU TV show but I couldn't not compare it to the games. I noticed so many minute details about the behavior and expressions of some characters in the TV adaptation that made me think things like ""that's not what Joel would do""). So I can't fault the people who watched the Anime for not liking some bits. But being a neutral, I found this show exceptionally entertaining to the point that I just started ignoring the minor flaws (like it doesn't have the best CGI or it does have a couple of cheesy dialogs) . It has to be 10/10 for me because has everything:
Incredible characters and character development.



Surprisingly, it has depth and makes you think. It's far from just a shallow copy-paste of the source material.



Funny
Thrilling
Mysterious
Wholesome.",06-Sep-23,10.0,ive never seen anime zero context ive side youve seenread original source material hated liveaction adaptation start show bit bias towards expectation going great took minutes beginning get used man dont remember last showmovie eyes glued screen like mean understand anime fans find issues ive kinda everyone loved tlou tv show couldnt compare games noticed many minute details behavior expressions characters tv adaptation made think things like thats joel would cant fault people watched anime liking bits neutral found show exceptionally entertaining point started ignoring minor flaws like doesnt best cgi couple cheesy dialogs everything incredible characters character development surprisingly depth makes think far shallow copypaste source material funny thrilling mysterious wholesome
A fever dream One Piece but still very One Piece in its core,"Warnings: Blood here and there, one nudity scene but nothing full frontal, self harm

For the nonfans of One Piece or anime: The source material is goofy and not truly based on any Earth history. The show leans into it so expect some hokey ridiculous looks. Costumes will have ranges of modern looks to 18th century etc. Some characters might even give you uncanny valley because of the absurdity. Think like The Mask, Scooby-Doo LA, Lazy Town, or Series of Unfortunate Events.

The fights aren't grounded but more akin to Wuxia or Wirefu. If you've watched shows like Kung Fu Hustle, Shaolin Soccer, Crouching Tiger Hidden Dragon, RRR, or Shang Chi then that's similar to it. You get humans jumping really high. Running on walls in a 90 degree angle. Spinning mid air etc. Basically don't think of the rules of Earth physics.

Don't be fooled by what you just see however, the story and themes gets serious too. One Piece tackles themes like oppression, slavery, racism, family loss etc...It's one of the best world building story that's 25 years in the making. And the show takes advantage of that benefit of hindsight.

Overall it's an uplifting yet dramatic story in an inventive world that runs towards optimism. Luffy (Inaki Godoy) is a force of nature. He affects and inspires people around him. The Strawhat crew- I do not exaggerate when I say- is one of the best Found Family there is.

If you like absurdism fantasy action adventure do check this out!

For the fans and my general review: ""Stop counting only those things you have lost! What is gone, is gone. So ask yourself this. What is there that still remains to you?"" --Oda

One has to remember this show is not a recreation. It's an adaptation. There's also no such thing as 1-1 adaptation. Game of Thrones had changes. Harry Potter had changes. Lord of the Rings had changes. But these became loved because they succeeded in translating the heart of the story and essense of the characters. As a fellow fan for over 10 years...I believe One Piece Live Action did it too even with all the changes. The Manga and Anime will always be with us and now we just have additional content through the live action. I'd say it's about 70% faithful to how the manga progresses? Like if you remove what they added and just compare the core of the plotlines it'll be similar.

Anyway, I followed the live action news, got into the production perspective and I'm happy that these people are in love with One Piece even more than I am. Their decision not to ground too much in reality is so refreshing. I'm so tired of live action adaptations always looking so gray and gritty!! Realistic but not grounded by realism is what we need!! That's how you lose magic when you limit yourself in always keeping it ""real"". Embrace the absurd and goofy. Look at it with a child-like wonder filter. Get into that Romantic adventure. Take in the corny and cheesy stuff.

Overall this show is far from perfect. I'd say as an adaptation it's about 7.5/10 but I'm rating it a 9 because I enjoyed it for what it is and it greatly entertained me as a show. There's plenty I can nitpick from especially since they didn't include some scenes that I personally love but I can forgive the negatives over the many positives it has. This show is truly one made by fans and you can feel that from the costumes, the world, the characters...down to the easter eggs they sprinkled in. I truly enjoyed it as a whole. It's like a fever dream One Piece but still very One Piece in its core.",31-Aug-23,9.0,warnings blood one nudity scene nothing full frontal self harm nonfans one piece anime source material goofy truly based earth history show leans expect hokey ridiculous looks costumes ranges modern looks th century etc characters might even give uncanny valley absurdity think like mask scoobydoo la lazy town series unfortunate events fights arent grounded akin wuxia wirefu youve watched shows like kung fu hustle shaolin soccer crouching tiger hidden dragon rrr shang chi thats similar get humans jumping really high running walls degree angle spinning mid air etc basically dont think rules earth physics dont fooled see however story themes gets serious one piece tackles themes like oppression slavery racism family loss etcits one best world building story thats years making show takes advantage benefit hindsight overall uplifting yet dramatic story inventive world runs towards optimism luffy inaki godoy force nature affects inspires people around strawhat crew exaggerate say one best found family like absurdism fantasy action adventure check fans general review stop counting things lost gone gone ask still remains oda one remember show recreation adaptation theres also thing adaptation game thrones changes harry potter changes lord rings changes became loved succeeded translating heart story essense characters fellow fan yearsi believe one piece live action even changes manga anime always us additional content live action id say faithful manga progresses like remove added compare core plotlines itll similar anyway followed live action news got production perspective im happy people love one piece even decision ground much reality refreshing im tired live action adaptations always looking gray gritty realistic grounded realism need thats lose magic limit always keeping real embrace absurd goofy look childlike wonder filter get romantic adventure take corny cheesy stuff overall show far perfect id say adaptation im rating enjoyed greatly entertained show theres plenty nitpick especially since didnt include scenes personally love forgive negatives many positives show truly one made fans feel costumes world charactersdown easter eggs sprinkled truly enjoyed whole like fever dream one piece still one piece core
People need to stop comparing...,"Evaluate the show on its own merits rather than drawing comparisons with the anime series. The show presents a unique interpretation of the idea, rendering direct comparisons illogical and potentially distorting the accuracy of other reviews.

Regarding the show itself, it undeniably offers an impressive viewing experience. It ranks among the most captivating series I've encountered recently. The action sequences are skillfully executed, and the integration of comedy is seamless, resulting in a flawless amalgamation.

It's perplexing why certain individuals have awarded the show a low rating. From my perspective, the show possesses its own distinctive charm, and I particularly appreciate the implementation of CGI and the cast's performances. With the hope of a second season, it's important to acknowledge that the show diverges from the original anime but maintains its own intrinsic value. In my strong recommendation, I encourage you to give it a watch.",31-Aug-23,10.0,evaluate show merits rather drawing comparisons anime series show presents unique interpretation idea rendering direct comparisons illogical potentially distorting accuracy reviews regarding show undeniably offers impressive viewing experience ranks among captivating series ive encountered recently action sequences skillfully executed integration comedy seamless resulting flawless amalgamation perplexing certain individuals awarded show low rating perspective show possesses distinctive charm particularly appreciate implementation cgi casts performances hope second season important acknowledge show diverges original anime maintains intrinsic value strong recommendation encourage give watch
"Being a pirate is the best thing!You have the wind in your back, the salty sea air, your loyal crew by your side.You never know what's in the horizon.Its all about being free!","Epic live adaptation of the masterpiece by the brilliant mind of Eiichiro Oda, stands as a beacon of excellence in the realm of anime and manga. This sprawling tale of adventure, camaraderie, and unyielding dreams has left an indelible mark on the hearts of fans worldwide. As a devoted follower of the Straw Hat Pirates and their riveting journey, I find it impossible to convey the sheer brilliance of One Piece in mere words, but I'll endeavor to capture the essence of its magic.

At its core, this series is a celebration of the human spirit and the pursuit of one's dreams. The protagonist, Monkey D. Luffy, embodies the relentless pursuit of freedom and adventure. His infectious enthusiasm and unwavering determination set the tone for the entire series. Luffy's journey, from a wide-eyed dreamer with a straw hat to a formidable force to be reckoned with, is a testament to the transformative power of resilience and friendship.

The strength of One Piece lies not only in its charismatic lead but also in the ensemble cast that forms the Straw Hat crew. Each member, from the brooding swordsman Roronoa Zoro to the navigating wizard Nami, contributes a unique flavor to the narrative. Oda's genius lies in his ability to weave individual character arcs seamlessly into the overarching plot, creating a tapestry of stories that resonate with the audience on a deeply personal level. As a fan, witnessing the growth, struggles, and triumphs of these characters is a profoundly moving experience.

The world-building in the drama is nothing short of extraordinary. Oda has constructed a vast and intricately connected universe that spans across seas, islands, and cultures. The Grand Line, the New World, and the mysteries of the One Piece itself serve as a backdrop to the adventures of the Straw Hat Pirates. The richness of this world is a testament to Oda's unparalleled creativity, and it invites fans to immerse themselves in a realm where every island holds a new mystery and every sea promises untold dangers.

The narrative unfolds like a carefully orchestrated symphony, with arcs that range from heart-wrenching to hilariously absurd. From every emotional rollercoaster, each saga leaves an indelible mark on the viewer's soul. Oda's ability to balance intense action, emotional depth, and humor is a testament to his storytelling prowess. The layers of intrigue, alliances, and rivalries add a complexity that keeps fans eagerly anticipating the next twist in the tale.

Beyond the action-packed sequences and intricate plotlines, One Piece carries profound themes that resonate universally. Friendship, freedom, justice, and the pursuit of one's dreams are recurring motifs that give the series a depth beyond its entertaining surface. The camaraderie among the Straw Hat crew, forged through shared hardships and victories, is a poignant reminder of the strength found in genuine connections. The series doesn't shy away from addressing societal issues and moral quandaries, adding a layer of thought-provoking substance that elevates it to a higher plane.

Visually, One Piece is a feast for the eyes. Awesome effects, fight choreography and expressive characters, brings the world to life with vibrant energy. The action sequences are a ballet of dynamic movements, and the emotional beats are conveyed with a subtlety that speaks volumes. Oda's attention to detail, whether in designing mythical creatures or crafting the intricate architecture of islands, enhances the immersive experience for fans.

In conclusion, One Piece is not merely a manga or anime; it's a cultural phenomenon that has touched the hearts of millions. Eiichiro Oda's opus is a celebration of the human spirit, a testament to the power of dreams, and a journey that transcends the boundaries of fiction. For those who have embarked on this grand adventure, this series is more than a story - it's a treasure trove of emotions, life lessons, and a legacy that will endure for generations to come.",01-Oct-23,10.0,epic live adaptation masterpiece brilliant mind eiichiro oda stands beacon excellence realm anime manga sprawling tale adventure camaraderie unyielding dreams left indelible mark hearts fans worldwide devoted follower straw hat pirates riveting journey find impossible convey sheer brilliance one piece mere words ill endeavor capture essence magic core series celebration human spirit pursuit ones dreams protagonist monkey luffy embodies relentless pursuit freedom adventure infectious enthusiasm unwavering determination set tone entire series luffys journey wideeyed dreamer straw hat formidable force reckoned testament transformative power resilience friendship strength one piece lies charismatic lead also ensemble cast forms straw hat crew member brooding swordsman roronoa zoro navigating wizard nami contributes unique flavor narrative odas genius lies ability weave individual character arcs seamlessly overarching plot creating tapestry stories resonate audience deeply personal level fan witnessing growth struggles triumphs characters profoundly moving experience worldbuilding drama nothing short extraordinary oda constructed vast intricately connected universe spans across seas islands cultures grand line new world mysteries one piece serve backdrop adventures straw hat pirates richness world testament odas unparalleled creativity invites fans immerse realm every island holds new mystery every sea promises untold dangers narrative unfolds like carefully orchestrated symphony arcs range heartwrenching hilariously absurd every emotional rollercoaster saga leaves indelible mark viewers soul odas ability balance intense action emotional depth humor testament storytelling prowess layers intrigue alliances rivalries add complexity keeps fans eagerly anticipating next twist tale beyond actionpacked sequences intricate plotlines one piece carries profound themes resonate universally friendship freedom justice pursuit ones dreams recurring motifs give series depth beyond entertaining surface camaraderie among straw hat crew forged shared hardships victories poignant reminder strength found genuine connections series doesnt shy away addressing societal issues moral quandaries adding layer thoughtprovoking substance elevates higher plane visually one piece feast eyes awesome effects fight choreography expressive characters brings world life vibrant energy action sequences ballet dynamic movements emotional beats conveyed subtlety speaks volumes odas attention detail whether designing mythical creatures crafting intricate architecture islands enhances immersive experience fans conclusion one piece merely manga anime cultural phenomenon touched hearts millions eiichiro odas opus celebration human spirit testament power dreams journey transcends boundaries fiction embarked grand adventure series story treasure trove emotions life lessons legacy endure generations come
What a surprise!!,"It was awesome and it did make me feel the emotions they were trying to portray. Overall it was great and it almost blew my socks off and the experience was very enjoyable. As an anime fan I do not know why they had to cut Hachi though. That is the only change I disagree with, even though I understand the CGI would have been rather difficult to nail. My favorite portrayal was Nami's, she was the one who was the most attached to the crew and made me believe they cared for each other the most. Maybe It's different than the original but sooo addictive and amazing I had a lot of fun watching this live adaptation ,I hope this gets a second season!",31-Aug-23,10.0,awesome make feel emotions trying portray overall great almost blew socks experience enjoyable anime fan know cut hachi though change disagree even though understand cgi would rather difficult nail favorite portrayal namis one attached crew made believe cared maybe different original sooo addictive amazing lot fun watching live adaptation hope gets second season
Perfect,Having watched a good portion of One Piece anime this show is exactly what you'd hope for! The outrageousness of the anime is truly on display in this live action and you wouldn't want it any other way. My sold issue with this show and it's not even the shows fault but the limited amount of episodes for season 1 is truly disappointing. So many of this new seasons are going to 8 episodes or so which is the companies fault. There are numerous shows that would have benefited so much if they could've had a few more episodes and for a anime show like this it DESERVES to have had more than just 8 to get started. Netflix scored on a perfection live action but burned us on limiting season 1 to only 8 episodes.,04-Sep-23,9.0,watched good portion one piece anime show exactly youd hope outrageousness anime truly display live action wouldnt want way sold issue show even shows fault limited amount episodes season truly disappointing many new seasons going episodes companies fault numerous shows would benefited much couldve episodes anime show like deserves get started netflix scored perfection live action burned us limiting season episodes
Glad I missed work to watch this 8 hour epic that breaks the mold,"I did not plan this, I was just at work, upset what was going on I ended up leaving early. Got home was wondering if I did the right thing, I felt pretty sure at the time but after reading a few upset messages I was unsure. Sooo I needed something to keep my mind off that and remembered this show. It didn't really sound great to be honest, the trailers looked alright.

I wasn't prepared to watch the first straight up masterpiece of a show that says 'Hell yea, Anime can work"". Its comedy is effective, its drama very hitting, its action was great. It also surprised me a lot. Blood? Death? Drinking? Cursing? Smoking? Wow, I mean it is in the manga (Death not so much) but WOW. They actually took all the silly themes, costumes, and set pieces incredible serious. It was also able to adapt the manga incredibly well without losing much. It was also very well paced, I was barely ever bored. It also had a great message, follow your dreams, don't let others beat you down and stand up for what you think is right, So ya, it did make me feel a lot better about my work situation.

Lost 8 hours of work to watch 8 hours of this and I'm feeling very satisfied before I'm off to bed.",31-Aug-23,10.0,plan work upset going ended leaving early got home wondering right thing felt pretty sure time reading upset messages unsure sooo needed something keep mind remembered show didnt really sound great honest trailers looked alright wasnt prepared watch first straight masterpiece show says hell yea anime work comedy effective drama hitting action great also surprised lot blood death drinking cursing smoking wow mean manga death much wow actually took silly themes costumes set pieces incredible serious also able adapt manga incredibly well without losing much also well paced barely ever bored also great message follow dreams dont let others beat stand think right ya make feel lot better work situation lost hours work watch hours im feeling satisfied im bed
